ok,ms,status,grok_proxy,raw,error
0,4060,,socks5://147.45.60.250:1081,socks5://147.45.60.250:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4070,,socks4://64.225.42.129:3007,socks4://64.225.42.129:3007,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4284,,socks4://147.45.60.252:1081,socks4://147.45.60.252:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4371,,socks4://178.130.47.43:1082,socks4://178.130.47.43:1082,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4516,,socks4://147.45.60.249:1082,socks4://147.45.60.249:1082,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4518,,socks4://147.45.60.246:1082,socks4://147.45.60.246:1082,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4586,,socks4://178.130.47.41:1081,socks4://178.130.47.41:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4840,,socks5://178.130.47.50:1082,socks5://178.130.47.50:1082,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4841,,socks5://45.61.188.134:44499,socks5://45.61.188.134:44499,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4849,,socks4://216.106.179.216:49382,socks4://216.106.179.216:49382,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4860,,socks5://216.106.179.216:49159,socks5://216.106.179.216:49159,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,5014,,socks5://43.153.71.188:9050,socks5://43.153.71.188:9050,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,5025,,socks4://170.106.142.217:9050,socks4://170.106.142.217:9050,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
